Job Title,Job ID,City,State,Country,Category,Apply Link
Technical Lead-DLP,73578,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Technical-Lead-DLP/73578-en_US
Test Architect - L1,73693,Bengaluru,Karnataka,India,Engineering,https://careers.wipro.com/job/Test-Architect-L1/73693-en_US
Infra Architect- AWS EKS,73732,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Infra-Architect-AWS-EKS/73732-en_US
Solution Architect - L1,73736,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Solution-Architect-L1/73736-en_US
Developer - L4,68281,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Developer-L4/68281-en_US
Domain Consultant - L3,68370,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L3/68370-en_US
Solution Architect - L2,70268,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Solution-Architect-L2/70268-en_US
ServiceNow Senior Developer,70269,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/ServiceNow-Senior-Developer/70269-en_US
Techno Functional Consultant - L2,70287,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Techno-Functional-Consultant-L2/70287-en_US
GCC Specialist Sales/ Business Development Executive,70293,Bengaluru,Karnataka,India,Corporate Function,https://careers.wipro.com/job/GCC-Specialist-Sales-Business-Development-Executive/70293-en_US
Domain Consultant - L3,70334,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-L3/70334-en_US
Domain Consultant - Endur,70337,Bengaluru,Karnataka,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-Endur/70337-en_US
Lead Administrator - L2,70351,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L2/70351-en_US
Cyber Security Analyst - L4,70533,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Cyber-Security-Analyst-L4/70533-en_US
Senior Analyst,71033,Gurugram,Haryana,India,Business Process,https://careers.wipro.com/job/Senior-Analyst/71033-en_US
Trainer - L4,71083,Hyderabad,Telangana,India,Business Process,https://careers.wipro.com/job/Trainer-L4/71083-en_US
Lead Administrator - L1,71208,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/71208-en_US
Test Engineer - L2,71225,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Test-Engineer-L2/71225-en_US
EDR/ Deep Security Management,71262,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/EDR-Deep-Security-Management/71262-en_US
Administrator - L0,71329,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Administrator-L0/71329-en_US
Senior Analyst,40054,Gurugram,Haryana,India,Business Process,https://careers.wipro.com/job/Senior-Analyst/40054-en_US
Developer - L3,40278,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Developer-L3/40278-en_US
Developer - L4,41069,Hyderabad,Telangana,India,Business Process,https://careers.wipro.com/job/Developer-L4/41069-en_US
Technical Consultant - L2,42745,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Technical-Consultant-L2/42745-en_US
Technical Lead - L1,42834,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Technical-Lead-L1/42834-en_US
Salesforce Healthcare and Life Sciences Competency Head,49491,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Salesforce-Healthcare-and-Life-Sciences-Competency-Head/49491-en_US
Salesforce Financial Services Competency Head,49498,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Salesforce-Financial-Services-Competency-Head/49498-en_US
Domain Consultant - Endur,49872,Hyderabad,Telangana,India,Consulting,https://careers.wipro.com/job/Domain-Consultant-Endur/49872-en_US
Lead Administrator - L1,50625,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/50625-en_US
Gen AI Lead,50936,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Gen-AI-Lead/50936-en_US
Administrator - L2,82912,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Administrator-L2/82912-en_US
Automation Engineer - L3,83336,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Automation-Engineer-L3/83336-en_US
Lead Administrator - L1,83377,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Lead-Administrator-L1/83377-en_US
Developer - L4,83799,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Developer-L4/83799-en_US
Administrator - L0,84225,Ahmedabad,Gujarat,India,Cloud,https://careers.wipro.com/job/Administrator-L0/84225-en_US
Administrator - L0,84226,Ahmedabad,Gujarat,India,Cloud,https://careers.wipro.com/job/Administrator-L0/84226-en_US
Administrator - L0,84227,Ahmedabad,Gujarat,India,Cloud,https://careers.wipro.com/job/Administrator-L0/84227-en_US
Service Desk Analyst - L0,84272,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Service-Desk-Analyst-L0/84272-en_US
Service Desk Analyst - L0,84273,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Service-Desk-Analyst-L0/84273-en_US
Service Desk Analyst - L0,84274,Mumbai,Maharashtra,India,Cloud,https://careers.wipro.com/job/Service-Desk-Analyst-L0/84274-en_US
Functional Consultant - L2,83292,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Functional-Consultant-L2/83292-en_US
Technical Consultant - L2,83293,Bengaluru,Karnataka,India,Cloud,https://careers.wipro.com/job/Technical-Consultant-L2/83293-en_US
Integration Architect - L1,83307,Bengaluru,Karnataka,India,Digital Experience,https://careers.wipro.com/job/Integration-Architect-L1/83307-en_US
Technical Lead - L1,83317,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Technical-Lead-L1/83317-en_US
Data Scientist Lead - L1,83319,Hyderabad,Telangana,India,Cloud,https://careers.wipro.com/job/Data-Scientist-Lead-L1/83319-en_US
Data Scientist Lead - L2,83321,Pune,Maharashtra,India,Cloud,https://careers.wipro.com/job/Data-Scientist-Lead-L2/83321-en_US
Associate,83332,Gurugram,Haryana,India,Business Process,https://careers.wipro.com/job/Associate/83332-en_US
